id|name
a1|aromatic
a2|green
a3|citrus
a4|marine
a5|herbal
a6|woody
a7|fresh spicy
a8|lavender
a9|floral
a10|fruity
a11|fresh
a12|vanilla
a13|sweet
a14|warm spicy
a15|amber
a16|cinnamon
a17|white floral
a18|mossy
a19|tropical
a20|musky
a21|powdery
a22|patchouli
a23|leather
a24|smoky
a25|almond
a26|animalic
a27|metallic
a28|tobacco
a29|anis
a30|rose
a31|balsamic
a32|oud
a33|aldehydic
a34|nutty
a35|honey
a36|iris
a37|aquatic
a38|lactonic
a39|coconut
a40|caramel
a41|violet
a42|salty
a43|earthy
a44|cacao
a45|tuberose
a46|chocolate
a47|cherry
a48|coffee
a49|conifer
a50|rum
a51|soapy
a52|yellow floral
a53|soft spicy
a54|ozonic
a55|mineral
a56|whiskey
a57|beeswax
