id|name|country
b1|Acqua di Parma|Italy
b2|Afnan|United Arab Emirates
b3|Al Haramain|United Arab Emirates
b4|Amouage|Oman
b5|Antonio Banderas|Spain
b6|Aramis|United States
b7|Ariana Grande|United States
b8|Armaf|United Arab Emirates
b9|Atelier Cologne|France
b10|Azzaro|France
b11|Beyoncé|United States
b12|Billie Eilish|United States
b13|Britney Spears|United States
b14|Burberry|United Kingdom
b15|Bvlgari|Italy
b16|Byredo|Sweden
b17|Cacharel|France
b18|Calvin Klein|United States
b19|Carolina Herrera|United States
b20|Cartier|France
b21|Chanel|France
b22|Chloé|France
b23|Clinique|United States
b24|Creed|France
b25|Davidoff|Switzerland
b26|Dior|France
b27|Diptyque|France
b28|Dolce&Gabbana|Italy
b29|Elizabeth Arden|United States
b30|Escentric Molecules|United Kingdom
b31|Estée Lauder|United States
b32|Ex Nihilo|France
b33|Frédéric Malle|France
b34|French Avenue|United Arab Emirates
b35|Giorgio Armani|Italy
b36|Givenchy|France
b37|Gucci|Italy
b38|Guerlain|France
b39|Guy Laroche|France
b40|Hermès|France
b41|Hugo Boss|Germany
b42|Initio Parfums Privés|France
b43|Issey Miyake|Japan
b44|Jean Paul Gaultier|France
b45|Jennifer Lopez|United States
b46|Jimmy Choo|United Kingdom
b47|Jo Malone London|United Kingdom
b48|Joop!|Germany
b49|Juliette Has a Gun|France
b50|Kayali|United Arab Emirates
b51|Kenzo|France
b52|Kilian Paris|France
b53|Lalique|France
b54|Lancôme|France
b55|Lanvin|France
b56|Lattafa|United Arab Emirates
b57|Le Labo|United States
b58|Louis Vuitton|France
b59|Maison Alhambra|United Arab Emirates
b60|Maison Francis Kurkdjian|France
b61|Maison Margiela|France
b62|Mancera|France
b63|Marc Jacobs|United States
b64|Memo Paris|France
b65|Montale|France
b66|Montblanc|Germany
b67|Mugler|France
b68|Narciso Rodriguez|United States
b69|Nasomatto|Netherlands
b70|Nautica|United States
b71|Nina Ricci|France
b72|Nishane|Turkey
b73|Paco Rabanne|Spain
b74|Parfums de Marly|France
b75|Paris Hilton|United States
b76|Penhaligon's|United Kingdom
b77|Prada|Italy
b78|Rasasi|United Arab Emirates
b79|Rihanna|United States
b80|Roja Parfums|United Kingdom
b81|Serge Lutens|France
b82|Stella McCartney|United Kingdom
b83|Swiss Arabian|United Arab Emirates
b84|Tauer Perfumes|Switzerland
b85|Tiziana Terenzi|Italy
b86|Tom Ford|United States
b87|Tommy Hilfiger|United States
b88|Valentino|Italy
b89|Van Cleef & Arpels|France
b90|Versace|Italy
b91|Victoria's Secret|United States
b92|Viktor&Rolf|Netherlands
b93|Xerjoff|Italy
b94|Yves Saint Laurent|France
b95|Zara|Spain
