id|name|group
n1|Myrtle|
n2|Lemon|
n3|Bergamot|
n4|Basil|
n5|Sea Notes|
n6|Jasmine|
n7|Rose|
n8|Juniper|
n9|Cedar|
n10|Mastic|
n11|Amber|
n12|Sweet Orange|
n13|Lavender|
n14|Verbena|
n15|Rosemary|
n16|Vetiver|
n17|Sandalwood|
n18|Patchouli|
n19|Pink Pepper|
n20|Mint|
n21|Black Currant|
n22|Apple|
n23|Incense|
n24|Ginger|
n25|Cinnamon|
n26|Wild Lavender|
n27|Orange Blossom|
n28|Lily-of-the-Valley|
n29|Vanilla|
n30|Tonka Bean|
n31|Pineapple|
n32|White Flowers|
n33|Birch|
n34|Oakmoss|
n35|Musk|
n36|Ambergris|
n37|Mandarin|
n38|Green Tea|
n39|Woody Notes|
n40|Saffron|
n41|Green Notes|
n42|Mandarin Orange|
n43|Melon|
n44|Galbanum|
n45|Petitgrain|
n46|Geranium|
n47|Sage|
n48|Marine Accord|
n49|Moss|
n50|Cedarwood|
n51|Sweet Notes|
n52|Bitter Almond|
n53|Egyptian Jasmine|
n54|Black Pepper|
n55|Tobacco Leaf|
n56|Clove|
n57|Star Anise|
n58|Cocoa|
n59|Dried Fruits|
n60|Tobacco|
n61|Elemi|
n62|Pink Berries|
n63|Freesia|
n64|Lily of the Valley|
n65|Cumin|
n66|Damask Rose|
n67|Tea|
n68|Oud|
n69|Frankincense|
n70|Guaiac Wood|
n71|Orris|
n72|Aldehydes|
n73|Myrrh|
n74|Orris Root|
n75|Civet|
n76|Pear|
n77|Hazelnut|
n78|Jasmine Sambac|
n79|Osmanthus|
n80|Cistus|
n81|Akigalawood|
n82|Oregano|
n83|Pimento|
n84|Opoponax|
n85|Leather|
n86|Agarwood|
n87|Grapefruit|
n88|Marigold|
n89|Helichrysum|
n90|Benzoin|
n91|Animalic Notes|
n92|Labdanum|
n93|Coriander|
n94|Orange|
n95|Davana|
n96|Blackberry|
n97|Honey|
n98|Bay Leaf|
n99|Orchid|
n100|Celery Seeds|
n101|Atlas Cedar|
n102|Immortelle|
n103|Neroli|
n104|Ylang-Ylang|
n105|Green Apple|
n106|Cappuccino|
n107|Cardamom|
n108|Nutmeg|
n109|Suede|
n110|White Musk|
n111|Pepper|
n112|Artemisia|
n113|Thyme|
n114|Castoreum|
n115|Raspberry|
n116|Pink Grapefruit|
n117|Rose Buds|
n118|Vanilla Orchid|
n119|Marshmallow|
n120|Whipped Cream|
n121|Coconut|
n122|Praline|
n123|Coconut Cream|
n124|Blonde Woods|
n125|Pink Pineapple|
n126|Dragon Fruit|
n127|Berries|
n128|Coconut Water|
n129|Ambrette|
n130|Amberwood|
n131|Passion Fruit|
n132|Magnolia|
n133|Ambroxan|
n134|Dreamwood|
n135|Pink Freesia|
n136|Plum|
n137|Orris Butter|
n138|White Praline|
n139|Vanilla Absolute|
n140|Cocoa Butter|
n141|Peony|
n142|Quince|
n143|Fig|
n144|Salted Caramel|
n145|Pear Blossom|
n146|Honeysuckle|
n147|Frangipani|
n148|Cashmere Wood|
n149|Pink Rose|
n150|Macarons|
n151|Lime|
n152|Red Fruits|
n153|Violet|
n154|White Woods|
n155|Fir Resin|
n156|Tagetes|
n157|Blood Orange|
n158|Bitter Orange|
n159|Anise|
n160|Clary Sage|
n161|Iris|
n162|Toffee|
n163|Bourbon Vanilla|
n164|Fruity Notes|
n165|Red Cedar|
n166|Iso E Super|
n167|Cypress|
n168|Peach|
n169|Almond|
n170|Sequoia|
n171|Curaçao|
n172|Red Berries|
n173|Sugared Petals|
n174|Spices|
n175|Apple Blossom|
n176|Papyrus|
n177|Poppy|
n178|Palo Santo|
n179|Ebony Wood|
n180|Guava|
n181|Tangerine|
n182|Linden Blossom|
n183|Apricot|
n184|Sugar|
n185|Water Lily|
n186|Lotus|
n187|Tuberose|
n188|Star Jasmine|
n189|Cyclamen|
n190|Kiwi|
n191|Red Lychee|
n192|White Chocolate|
n193|Cupcake|
n194|Lemon Verbena|
n195|Stargazer Lily|
n196|Jacaranda Wood|
n197|Sour Cherry|
n198|Clementine|
n199|Nectarine|
n200|Coffee|
n201|Dulce de Leche|
n202|Wild Berries|
n203|Green Mandarin|
n204|Cacao|
n205|Vanilla Caviar|
n206|Strawberry|
n207|Cashmeran|
n208|Himalayan Cedar|
n209|Virginia Cedar|
n210|Mimosa|
n211|Port Wine|
n212|Tarragon|
n213|Birch Leaf|
n214|Posidonia|
n215|Santolina|
n216|Seaweed|
n217|Rum|
n218|African Marigold|
n219|Buchu|
n220|Black Amber|
n221|White Rose|
n222|Sichuan Pepper|
n223|Carrot Seeds|
n224|Wild Fig|
n225|Juniper Berries|
n226|Pine Needles|
n227|Sapodilla|
n228|Turkish Rose|
n229|Raspberry Blossom|
n230|White Amber|
n231|Haitian Vetiver|
n232|Cassia|
n233|Lily|
n234|Hyacinth|
n235|Carnation|
n236|Papaya|
n237|Pomegranate|
n238|Persimmon|
n239|Black Orchid|
n240|Champaca|
n241|Mahogany|
n242|Black Violet|
n243|Champagne|
n244|Peach Blossom|
n245|White Pepper|
n246|Bulgarian Rose|
n247|Coumarin|
n248|Red Currant|
n249|Lychee|
n250|Caraway|
n251|Brazilian Rosewood|
n252|Rose de Mai|
n253|Blood Mandarin|
n254|Water Hyacinth|
n255|Teak Wood|
n256|Narcissus|
n257|Styrax|
n258|Citruses|
n259|Mirabelle Plum|
n260|Chamomile|
n261|Rosewood|
